"Module" "Cluster" "Function" "Genes"
"M16.7" "A2" "TBD" "ACAD10, ALG9, ANKRD27, ATXN10, BCAP29, BYSL, TCTN3, NAA25, GID4, BORCS6, C17ORF81, CACTIN, AIRIM, CMSS1, FAM114A2, CAPN10, CCDC127, CDCA4, COA4, CLUAP1, COMTD1, DCTD, INTS6L, DDX31, DFFA, DRG2, EIF1AX, ELP4, ENDOG, EXOC2, CALHM2, FARSA, FASTK, FBXW9, FMO4, GAMT, GATA3, GNB1L, HDHD3, HS.40289, HS.430851, HS.508889, HS.556082, IDH3A, INPP5B, IPO9, KIAA0125, TMEM94, RPRD2, LANCL2, LIG3, LIMA1, LOC653071, LOC729985, LOC90120, LRRC37A4, MADD, MAPKAPK5, MARS2, MBIP, METTL1, MIB1, WDR83, EEF1AKMT1, NBPF14, NCAPD3, NMT1, NOB1, NOLC1, NUP54, NUP62, OTUD6B, PALB2, PDIA4, PFKM, PHC1, PMS2P5, PNKD, POLA1, PPIL1, PRKAB2, PSMG3, RCL1, RNASEH2A, RPL39L, RUFY3, SEH1L, SFMBT1, SHQ1, SLC25A4, SMC2, SMYD4, SNX25, SYMPK, TCEAL1, TCERG1, TCF3, TPP2, TRAF1, TSGA14, TUT1, UQCR11, USP11, WDR33, DYNC2I1, WRAP53, XPO5, ZBTB25, ZBTB5, ZBTB8OS, ZC3H8, ZCCHC3, ZCWPW1, ZNF618, ZNF74, ZNF831"
"M16.70" "A33" "TBD" "ADORA3, ARHGAP24, ASPH, BMX, CD163, ERGIC1, ERLIN1, FKBP9P1, FLT3, FOXC1, IL1R2, INHBB, PRUNE2, KLF6, LOC144383, LOC642373, LOC650140, LOC654055, OLAH, OLFM4, ORM2, OTX1, PGM5, RAB3D, REPS2, SLC11A1, SPP1, TPST1, ZBTB16"
"M16.71" "A25" "TBD" "CD200R1, ADA2, CHEK2, CPNE1, CTBP1, DPAGT1, GFM2, IKZF3, LIN52, HNRNPA1L2, LOC643300, LOC646675, LOC650132, LOC85389, MANEA, MAT2B, RIOX2, OPN3, PIK3C2A, RASSF1, RBAK, MSMO1, SEH1L, SETD3, SGPP1, SPTBN1, VPS13C, WAC, ZNF124, ZNF3, ZNF761"
"M16.72" "A4" "TBD" "ADAT3, ADCY9, AEBP1, ATAD3A, BRF1, TRMT61A, CCL28, CYP2S1, DDX11, FAAH, GPC2, GSTM2, LDOC1, LENG8, LOC283871, LOC653583, LOC732075, LRRC45, PKD1, PLXNA3, PPP2R3B, SCLY, TBL3, TJP3, TLR9, TMEM143, TOE1, TUBGCP6, UBTF, ZNF775"
"M16.73" "A25" "Protein synthesis" "ABLIM1, ADK, ANAPC7, BRWD1, CASD1, CDC14B, ECD, EVI2A, FASTK, GTF2I, LCK, LETMD1, LOC648196, LOC649095, LOC650761, LSM12, MAT2B, MED27, NSF, P2RX5, PPM1B, RAE1, RBM12, REV3L, RFC2, SFXN1, SMAP1, ALYREF, TM2D3, TRADD"
"M16.74" "A25" "TBD" "C8ORF34, DNAJB12, FBXO3, POTEKP, MFSD14B, HNRNPK, HS.156414, HS.336511, HS.442504, HS.543064, HS.553431, ING3, LOC402221, MAX, MTMR12, PCDHGB6, JADE1, POLR2J3, RNFT1, ROCK1, RXRB, SALL3, SYPL1, TNFRSF10C, TUBA1C, UGGT1, WRNIP1, ZFAND6, ZFP36L2"
"M16.75" "A17" "Cell death" "ALG13, ARL6IP1, ASB7, ATP9B, UTP23, TASL, BCLAF3, DFFA, DNMT3A, HCCS, HMGB1, HS.541685, HS.543842, LILRB1, LOC646897, VWA5A, MAPRE3, MCFD2, NFAM1, NSL1, OR2H2, POLH, PPP2R5C, RHBDL2, SENP5, SMAD5, SRGAP3, TPK1, ULK2, WDR44"
"M16.76" "A33" "TBD" "AP3B2, C4BPA, CARD6, CCNA1, CD274, CFH, CYYR1, EBI3, ETV7, FAM110B, FFAR3, HGF, HS.224794, HS.561679, HSD3B7, KCNE1, KCNMA1, LOC730249, LOC731823, MUC1, SLC51A, PFKFB2, SCN9A, SLAMF8, SOCS1"
"M16.77" "A4" "Antigen presentation" "ACOT4, C1ORF21, ACKR2, CCL3L1, COCH, NCR3LG1, DTHD1, FLJ45337, HS.417262, HS.535825, KIR2DL1, KIR2DS5, KIR3DL1, KIR3DL2, KIR3DL3, KRT73, ZNF841, LOC401720, MAP3K12, MRPL43, MS4A14, PDGFD, TPTEP1, SCAND2, THG1L, FAM174A, ZNF167, ZNF385D"
"M16.78" "A1" "B cells" "ADARB1, BCAS4, BCL11A, FAM216A, CTC1, CD1C, CD52, CDR2, DCDC1, DPP7, HNRNPDL, HS.546375, IL32, IRF4, LOC645968, LOC647436, LOC651453, LOC654194, LOC730525, MSTO1, NT5C3B, OPN3, PDCD7, POLR1E, PLPP5, SH3KBP1, SNORD13, THOC3"
"M16.79" "A35" "Protein synthesis" "CAPN3, CASP4, MCU, CDS2, CEBPB, CNN2, DBN1, DNAJB12, DNAJC5, EXT1, CYRIB, ARHGEF40, GAPDH, MACROH2A1, H2BC5, IFITM2, IL10RB, LILRA5, MAFG, MTMR3, PITPNM2, PTTG1IP, PXN, PYCARD, RHOT1, SAT1, SPTLC2"
"M16.8" "A6" "TBD" "ABCB6, ABCF2, GCNA, ACSM3, AFAP1L2, AGL, AMN1, ANKRD17, ARL6IP4, BCAT2, BCL2L2, BLM, BMPR2, ZNF839, RMI2, METTL25B, SHLD1, SMIM29, ILRUN, C6ORF120, SAYSD1, TMEM268, CARS, CCDC69, CCDC90B, CDK5, CEBPE, CHERP, CHRAC1, CHRNB1, CLTC, COG1, COPS8, CXCR5, DDX19A, DEFB131, DHDDS, DHX9, DIS3L2, DNM3, DUSP16, OTULINL, FBXW11, FIBP, FIGNL1, GIN1, FUNDC1, GFRA2, GMPPB, GPATCH1, GPR137B, GTF2H1, GTF2IRD2B, HP1BP3, RIDA, HS.245405, HS.538554, HS.538962, ICA1, ICMT, LMAN2, MZT1, LOC642017, LOC652545, LOC728944, MED8, MFN1, MTHFD1L, MYOM1, NCKIPSD, NDFIP1, NFYA, NLRP1, NOD1, NUDT15, OGFOD1, PCBP4, PDE12, PIGN, PIK3R4, PMF1, PPIA, PPP1R12B, PRKAG2, QTRT2, RAB4A, RANBP3, RASSF6, RCBTB2, RETSAT, RFXANK, RPS6KC1, RPS7, SCAND1, SLC38A10, SLC9A9, SNORA7B, SON, ST3GAL3, STAU2, SULF2, THADA, TIGD7, TIPRL, TMEM177, HSP90B3P, TUBG1, UBL5, UBXN2A, UHRF2, VAMP4, ZFYVE27, ZNF397, ZNF585A, ZNF706, ZNF776"
"M16.80" "A33" "Cytokines/chemokines" "ABHD12B, BAGE3, BTNL9, CSAD, WLS, HS.467627, HS.543027, HS.551128, HS.556970, HS.559884, HS.566279, ITGAX, KCNJ15, KCNK4, KIAA0319, EPG5, LIMK2, LOC440776, LOC441193, LOC642334, NMNAT1, NSD1, ORAI2, PLB1, PTK2B, QKI, REPS2"
"M16.81" "A6" "TBD" "AGPAT4, MALSU1, DHPS, FOXJ3, GALNT1, HNRNPUL1, HS.127310, IL27RA, LIN54, LOC389787, LOC441377, LOC649548, LOC731365, LYAR, MAN2A1, METAP2, OCEL1, RPS26, RPS26L, SF3B4, SOCS4, SPTAN1, RO60, UBQLN1, VPS35, WASL, ZNF33B"
"M16.82" "A36" "Gene transcription" "ACSL6, BAG1, METTL22, C18ORF54, CAPN5, CDC42BPA, DIAPH3, ENTPD5, FAM5B, FKBP1B, GLUL, HS.14706, HS.562161, CCDC144A, LOC651723, TAB3, NEIL2, KAT2B, RFX3, SLC25A37, SOX6, TEX9, TFDP2, UROS, ZNF213"
"M16.83" "A7" "Cell adhesion" "ACTR3, KXD1, TMEM248, CATSPER1, CENTB1, COL8A2, CST3, DHTKD1, DIAPH1, DLGAP4, DYNLRB1, EXOC3, EXOC7, CYRIB, FBRS, HECA, ITGAL, LOC646786, MAP2K1, OAT, PNKD, PTOV1, SRRM2, TBC1D23, TMEM30A, ZNF341"
"M16.84" "A5" "Protein phosphorylation" "ABAT, ARHGAP12, ARHGEF10, BTBD3, C11ORF58, KIZ, CCDC91, EXOC8, MINDY2, HS.537907, HS2ST1, G2E3, LOC652608, LRRC1, MNAT1, NNT, NSUN6, ODF2L, PPP1R15B, PTPN2, RIC8B, S100PBP, TMEM70, ZNF468, ZNF532"
"M16.85" "A32" "TBD" "ABCD1, ANG, EOGT, DUSP10, NIBAN2, HOMER3, HOXA9, HS.121525, KCTD12, LRP1, PLA2G15, MARCO, NEK3, PLCB1, RNASE4, SIGLEC16, SLC22A18AS, SLC2A9, SMTN, SRD5A1, SUOX, TUFT1, ZNF322, ZNF503"
"M16.86" "A29" "Oxidative stress" "CSF2RA, CSGALNACT2, DDB1, GCLM, HECTD2, HS.162932, HS.254477, HS.369643, HS.374460, HS.530359, HS.568326, HS.569948, IPP, KIAA0319L, EPG5, LACTB, LOC150763, MBTD1, PDK1, PHF20L1, PMS2P5, STAG3L1, TCL1B, TRAPPC10, ZNF600"
"M16.87" "A15" "TBD" "ATXN2L, COA7, CASP8, CDC14A, RMDN1, FCRL2, LINC00954, HS.107418, HS.362932, HS.436572, HS.538100, HS.558485, HS.571599, LOC283932, LOC440349, LOC642398, LOC644019, LOC85390, NR4A2, RALGPS2, RBM3, RHOT1, SLC15A2"
"M16.88" "A36" "Erythrocytes" "ADORA3, AKAP7, ATAD4, BABAM1, PPDPF, POMGNT2, CCL5, COPS2, CTSE, HBA2, HBG1, HBG2, LOC646531, LOC651894, LOC731777, PHF1, RGS10, RPA1, RPS15A, SRSF8, SNHG11, WDR23, YIPF6"
"M16.89" "A30" "TBD" "ARID4A, ARID4B, BAGE5, CCDC41, DGKD, AGO2, FBXW7, MFSD14B, HS.412918, HS.572642, ITPR2, PPP4R3A, LOC441155, LOC643011, LOC647834, LOC648907, MBP, MIAT, PSMD12, RC3H2, TMOD3, TSC1, ZNF626"
"M16.9" "A32" "Protein modification" "ABCG1, ACTB, ACTR2, COQ8B, AFTPH, AKAP8L, ARIH1, ARSG, BAP1, BAX, BRMS1, BTBD7, R3HCC1L, TRMT1L, FAM209B, TTPAL, RIPOR2, MCM9, CCNT2, CDC42, CMIP, COG4, CORO1A, CPNE1, CXORF38, CYLN2, DEDD2, DHRS7B, DICER1, DMD, EDEM3, ESRRA, EXOC1, FLJ90757, FXR2, GALNT4, GBA2, GOLGA2, GOLGB1, GOLPH3, GPC6, HIF1AN, HS.324250, HS.554203, HS.568777, HSD17B11, HTRA2, IFFO1, IRF2, JMJD1C, KEAP1, KATNIP, KLC1, KLF6, LOC283874, LOC643738, LOC648605, LOC649661, LOC730740, LOC732425, MARK2, OGA, MPPE1, MTHFR, KAT8, NCOR1, NIPBL, NKIRAS2, NLRX1, NPLOC4, NR3C1, NSF, OGFRL1, PIGG, POLD3, POLR2C, PPM1D, PPP1CA, PPP3CA, PRKAG1, REEP4, RNASET2, ROCK2, SELENOO, SERINC3, SETD1B, SH3RF3, SKI, SLC23A2, SLC25A14, STAMBP, STK35, TAFAZZIN, TBL1XR1, THOC2, TRAPPC10, LDAF1, TNFAIP8L2, TRIP11, TSC1, TSC22D3, TYK2, UBE3B, WDR45B, WDR48, XRCC5, ZDHHC6, ZNF350, ZSWIM4"
"M16.90" "A14" "TBD" "C1QTNF6, DNAAF9, C21ORF124, CATSPER2P1, ERBB4, FALZ, FBXO41, FLCN, FLJ10246, JPT2, HS.484967, HS.529631, KDM4A, LOC344405, LOC644889, MGC40069, SLC25A34, SNAP25, SPPL3, TBX19, WDR27, ZNF660"
"M16.91" "A1" "TBD" "ABCB1, AVPI1, BACH2, CHD6, CLCF1, CPA3, CR2, DPP4, FCER1A, FTO, HS.326560, JUP, KLRB1, KRT72, LAMA5, LPHN1, LRIG1, NDRG2, SIRT4, TSGA14, WHAMM"
"M16.92" "A27" "Cell cycle" "APOBEC3B, CDT1, CENPM, CHAF1B, DEPDC1B, DTL, EXO1, FANCI, GCUD2, GGH, GINS2, KIF20A, KIF2C, MCM4, MELK, MND1, NCAPG2, NEK2, POLE2, TPX2, TRIP13, TTK"
"M16.93" "A31" "TBD" "APOM, C15ORF26, CA13, CETP, CMTM1, COL6A3, COPG2, DHRS9, EHD3, ELOVL7, FNBP1L, H2AC17, HOXD12, PLAAT1, HS.571130, HS.581828, HS.582046, LOC113230, OCRL, SEMG1, ATL1, ST7"
"M16.94" "A19" "TBD" "C1ORF116, CEACAM19, COL20A1, DCK, HS.444152, HS.537782, HS.562164, HS.565734, HS.580865, HS.61208, IRX6, LOC643176, LOC646990, LOC650293, MAP1B, MAS1, SLC39A3, STX1A, XCR1, ZNF222, ZNF646"
"M16.95" "A5" "B cells" "AGPAT5, AP1GBP1, SDR39U1, HAUS1, CD74, DBNDD1, FAHD2A, GLCCI1, HMGN2, L1CAM, LOC647104, LOC728825, TMEM223, MLYCD, MS4A1, PLEKHA2, PNKD, TAF9, TCEA1, TGFBR2, ZDHHC2"
"M16.96" "A38" "Erythrocytes" "ARL4A, RIPOR3, CABP5, CTNNAL1, ESPN, FECH, GNA12, HP, LPCAT2, MSI2, PLA2G4C, HACD1, RAP1GAP, RETN, RNASE3, SLC7A5, TFF3, TUBB2A, WDR45"
"M16.97" "A17" "Cell death" "CACNB3, COL9A2, TKFC, DHDDS, EMP1, FAM86B1, FGF18, GM2A, HS.527515, IKZF4, CTIF, NR2F6, PACS2, P4HTM, P3H4, SLC35B4, TPPP3, TRAF2, ZKSCAN3, ZNF408"
"M16.98" "A35" "TBD" "ADORA2B, CACNA1E, CR1, EFEMP2, GPR141, GPR63, HS.162734, KAZN, KREMEN1, LOC643550, LOC646434, LOXL3, MAK, MERTK, SLC26A8, TIFA, VDR, WWP2"
"M16.99" "A5" "Protein modification" "AMOT, ANKRD20A11P, CENPQ, ENPP5, LINC00115, KIR2DL4, KLRC1, KTN1, LGR6, NUAK1, OXSM, PMS1, SGSM1, SLC1A7, WDR35, ZFY, ZNF365"
"M3.1" "A29" "Cell cycle" "ALPP, ICA1L, ANKRD30B, ARL16, BCYRN1, BLZF1, JHY, EXO5, TMEM267, TBC1D32, MCMDC2, ERCC6L2-AS1, CCBE1, HAUS2, CSF2RA, CYCSL1, DCLRE1C, DDX51, DENR, DMC1, DTWD2, DUXAP3, EIF2AK4, EVI5, STRIP2, MIGA1, FLJ38717, FLJ40722, FLJ44124, GALNT3, GPR1, GSTTP2, HNRNPU, HS.163752, HS.542993, HS.562875, HS.571741, HS.576072, FMC1, HYPK, ICA1, IL10, IL17RD, KIAA1751, LEP, LMOD3, HYKK, LOC440157, LOC643882, LOC644250, LOC644852, LOC648852, LOC653829, PLIN5, MAGT1, MBTD1, SLC25A51, MCM8, MYO3B, N4BP2, NLRP8, NUBPL, OCIAD1, PCDHB19P, PCDHB9, PIP5K2B, PLA2G2D, BLOC1S6, POLR2J4, PPA2, PPM1K, NDUFAF7, PTP4A2, HACD4, RAX2, RHBDL2, PHAX, SLC25A20, SLC35E1, SLC4A5, SLC5A8, SNAPC1, SPTLC1, SSTR2, SYAP1, TDP1, TDRD1, TNFSF15, TRIM13, USP49, VPS41, WDR74, XRCC2, YRDC, PTGR2, ZNF14, ZNF223, ZNF483, ZNF486, ZNF557, ZNF577, ZNF652, ZNF669, ZNF682, ZNF69, ZNF786"
"M8.1" "A29" "TBD" "AHR, AIRE, BIRC3, C14ORF85, LINC00114, DNAJC28, C3ORF34, C8ORF37, INIP, CDAN1, CDKN2AIPNL, CREB1, EID2B, TCAF1, METTL21A, FCAR, FKTN, FLJ46309, GJC1, GRIPAP1, HCG2P7, IL18, KCNH6, LILRB1, LOC399900, LOC440704, LOC441087, LOC642947, LOC645895, LOC647389, LOC653086, LOC653489, LOC729603, LOC90586, LRAP, MBD4, MGC29891, PDE4C, PNPT1, CRCP, RPL7L1, SDHAP1, SHROOM4, SLC16A12, SLC44A4, SULT1A1, TMEM17, ZMAT3, ZNF394, ZNF430, ZNF549"
"M8.2" "A34" "Prostanoids" "ABCC3, ABLIM3, ALOX12, AQP10, LY6G6F, MTURN, CALD1, CMTM5, CTDSPL, CTTN, ESAM, F13A1, GNG11, GP9, GUCY1A1, HS.552264, ITGA2B, ITGB3, ITGB5, JAM3, MPL, MYL9, NRGN, PARVB, PDE5A, PPBP, PROS1, PTGS1, PVALB, SEPTIN5, SH3BGRL2, TNFSF4, TREML1, TSPAN33, TSPAN9, VWF"
"M8.3" "A28" "Type 1 Interferon" "EPSTI1, HERC5, HES4, IFI44, IFI44L, IFI6, IFIT1, IFIT3, ISG15, LY6E, MX1, OAS1, OAS2, OAS3, OASL, RSAD2, XAF1"
"M9.1" "A2" "Cytotoxic lymphocytes" "CCL4L2, CD160, CLIC3, S1PR5, EOMES, FGFBP2, GNLY, ADGRG1, GZMA, GZMB, GZMH, HOPX, IL2RB, KIR2DL3, KIR2DL4, KIR3DL1, KLRC1, KLRC3, KLRD1, KLRF1, NKG7, PLEKHF1, PPP2R2B, PRF1, PTGDR, SH2D1B, TGFBR3, ZNF683"
"M9.2" "A37" "Erythrocytes" "MARCHF8, ALAS2, BCL2L1, BPGM, BBOF1, PITHD1, CA1, EPB42, TENT5C, FECH, GMPR, GPR146, GYPB, GYPE, IFIT1B, KRT1, NFIX, OR2W3, OSBP2, PLEK2, SELENBP1, SLC14A1, SLC4A1, SNCA, TMCC2, TMOD1, TNS1, TRIM10, TUBB2A, XK"
